Region,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Other South Central Asia,"75,457","138,872","151,088","155,825","22,938","38,456","41,879","51,948","60,695","76,589","65,719","77,441","75,835"
South Eastern Asia,"3,044,288","3,502,387","3,542,850","3,587,682","3,666,823","3,872,963","3,939,341","4,012,201","4,032,035","4,153,190","4,228,958","4,229,855","4,318,647"
Cambodia,"136,978","145,215","145,266","145,919","154,545","164,746","160,212","159,666","164,746","163,383","166,268","152,415","153,199"
Indonesia,"72,552","90,882","84,079","85,850","84,096","99,768","97,244","86,872","94,600","94,632","90,833","94,453","101,232"
Laos,"204,284","192,110","190,605","189,274","191,780","192,302","183,768","198,149","196,154","193,979","197,016","183,894","186,035"
Malaysia,"49,459", - , - , - ,"48,459","65,169","58,268","55,067","68,956","70,774","69,308","78,459","74,451"
Burma (Myanmar),"33,905", - , - , - ,"76,918","82,200","95,726","116,318","116,775","128,071","137,567","142,494","160,275"
Philippines,"1,369,070","1,638,413","1,701,126","1,684,802","1,725,894","1,777,588","1,813,597","1,868,316","1,843,989","1,926,292","1,982,369","1,941,665","2,008,080"
Singapore,"20,801", - , - , - ,"28,723","26,946","30,608","31,049","31,293","30,732","36,252","28,940","34,604"
Thailand,"169,801","186,526","195,948","199,075","203,384","222,759","239,942","237,050","233,547","252,477","247,205","253,585","256,136"
Vietnam,"988,174","1,117,800","1,100,833","1,138,039","1,152,384","1,240,542","1,259,317","1,258,979","1,281,010","1,291,807","1,300,515","1,352,760","1,342,568"
Other South Eastern Asia,"53,970","131,441","124,993","144,723",640,943,659,735,965,"1,043","1,625","1,190","2,067"
Western Asia,"658,603","780,302","790,145","827,265","893,333","904,171","932,135","971,281","1,010,465","1,061,647","1,088,369","1,163,328","1,159,835"
Iraq,"89,892","101,878","102,393","100,966","154,220","159,800","170,366","177,028","200,894","217,257","215,193","221,587","232,418"
Israel,"109,719","135,003","134,438","146,179","140,323","127,896","133,400","138,468","127,079","132,730","129,680","142,078","142,934"
Jordan,"46,794", - , - , - ,"60,406","63,615","69,062","58,744","65,618","69,719","81,767","81,930","78,398"
Kuwait,"21,604", - , - , - ,"21,467","26,318","24,466","27,347","22,731","29,089","31,781","36,659","33,204"
Lebanon,"105,910","112,840","124,187","127,737","123,614","121,000","118,395","121,684","124,256","119,490","119,613","128,608","124,847"
Saudi Arabia,"21,881", - , - , - ,"43,166","45,016","56,238","69,190","88,894","86,682","96,783","99,849","82,201"
Syria,"54,561","64,110","54,728","66,077","60,827","59,554","64,697","74,902","78,934","85,737","82,681","96,694","104,234"
Yemen,"18,258", - , - , - ,"38,079","40,276","44,096","41,234","40,548","44,280","44,337","61,680","60,608"
Turkey,"78,378","88,826","93,673","105,225","105,350","106,271","96,760","107,948","109,667","109,408","116,336","120,745","117,366"
Armenia,"65,280","75,541","75,842","75,726","82,651","89,261","85,150","85,974","79,122","86,337","86,217","90,946","94,946"
Other Western Asia,"108,069","202,104","204,884","205,355","63,230","65,164","69,505","68,762","72,722","80,918","83,981","82,552","88,679"
"Asia, n.e.c.","38,652","38,968","41,992","34,408","44,407","43,165","40,713","45,634","45,449","53,760","48,538","47,754","49,046"
